Game	GameID	Players	Rounds	Turns	Ticks	P0_Score	P0_Ordinal	P0_Type	P1_Score	P1_Ordinal	P1_Type	P2_Score	P2_Ordinal	P2_Type	P3_Score	P3_Ordinal	P3_Type	P4_Score	P4_Ordinal	P4_Type	P5_Score	P5_Ordinal	P5_Type	P6_Score	P6_Ordinal	P6_Type	P7_Score	P7_Ordinal	P7_Type	P8_Score	P8_Ordinal	P8_Type
SushiGo	20	2	2	55	58	39.0	1	BasicMCTS	35.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	21	2	2	55	62	46.0	2	BasicMCTS	62.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	22	2	2	55	66	51.0	2	BasicMCTS	57.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	23	2	2	55	58	47.0	1	BasicMCTS	41.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	24	2	2	55	60	57.0	1	BasicMCTS	41.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	25	2	2	55	60	45.0	1	BasicMCTS	42.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	26	2	2	55	58	47.0	1	BasicMCTS	45.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	27	2	2	55	60	47.0	1	BasicMCTS	42.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	28	2	2	55	62	62.0	1	BasicMCTS	53.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	29	2	2	55	58	49.0	1	BasicMCTS	38.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	30	2	2	55	60	44.0	1	BasicMCTS	35.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	31	2	2	55	62	59.0	1	BasicMCTS	49.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	32	2	2	55	58	46.0	1	BasicMCTS	35.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	33	2	2	55	62	43.0	2	BasicMCTS	61.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	34	2	2	55	62	54.0	1	BasicMCTS	40.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	35	2	2	55	64	43.0	1	BasicMCTS	42.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	36	2	2	55	64	36.0	2	BasicMCTS	54.0	1	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	37	2	2	55	58	48.0	1	BasicMCTS	40.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
SushiGo	38	2	2	55	60	52.0	1	BasicMCTS	46.0	2	BasicMCTS	0	0		0	0		0	0		0	0		0	0		0	0		0	0	
